Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
10;1060650;Поступление зарплаты на счет;Ремонт;1;0.5;мужской;0;0;высшее;специалист;>250;0;42;27;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060670;Форма банка (без печати работодателя);Ремонт;1;0.24;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;21;37;Другое;ООО;женат / замужем;2;0;0;0;0;0.0634920635;0;0;0;0;0.25;1;3;59;4;0;1;6;55;1;0;0;0;0;0;0
10;1060690;Форма банка (без печати работодателя);Лечение;1;0.23;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;< 50;0;58;53;Торговля;ООО;холост / не замужем;1;1;1;1;0;0;1;1;1;1;0.5;2;2;97;4;0;2;0;58;0;0;0;0;0;0;0
10;1060710;Форма банка (без печати работодателя);Ремонт;1;0.38;мужской;0;0;высшее;вспомогательный персонал;>250;0;6;28;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060730;2НДФЛ;Покупка автомобиля;1;0.36;женский;1;0;среднее-специальное;специалист;>250;0;85;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060750;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.27;женский;1;0;высшее;специалист;>250;0;58;45;Торговля;ООО;женат / замужем;3;3;3;3;3;0;0;0;0;0;0;0;2;5;2;0;1;18;85;0;0;0;0;0;0;0
10;1060770;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;женский;0;0;высшее;специалист;>250;0;168;44;Торговля;ЗАО;разведен / разведена;2;1;1;1;1;0;1;0;0;0;0.8;4;1;179;5;1;0;24;87;0;0;0;0;0;0;0
10;1060790;Свободная форма с печатью работодателя;Ремонт;1;0.16;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060810;2НДФЛ;Ремонт;1;0.49;мужской;1;0;ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060830;Форма банка (без печати работодателя);Покупка мебели;0;0.26;женский;1;0;высшее;менеджер среднего звена;< 50;0;35;45;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060850;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.36;женский;1;0;высшее;менеджер среднего звена;>250;0;83;34;Торговля;ООО;повторный брак;1;1;1;1;1;0.031496063;0;0;0;0;0.6;3;2;123;5;1;2;9;68;1;0;0;0;0;0;0
10;1060870;Поступление зарплаты на счет;Ремонт;1;0.4;мужской;0;0;среднее-специальное;специалист;>250;0;6;23;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060890;2НДФЛ;Ремонт;1;0.36;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;14;38;Торговля;ООО;женат / замужем;5;5;1;1;1;;;;;;;;;;;;;;;;;;;;;
10;1060910;Форма банка (без печати работодателя);Отпуск;1;0.29;женский;0;0;среднее-специальное;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060930;Поступление зарплаты на счет;Ремонт;1;0.41;мужской;2;0;высшее;менеджер среднего звена;>250;0;59;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060950;Поступление зарплаты на счет;Покупка автомобиля;1;0.27;мужской;0;0;высшее;специалист;>250;0;10;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060970;Поступление зарплаты на счет;Ремонт;0;0.45;мужской;1;0;высшее;торговый представитель;>250;1;27;26;Торговля;ООО;разведен / разведена;1;1;0;0;0;0.3360655738;0;0;0;0;0.4;2;3;81;5;0;0;9;89;1;1;0;0;1;1;0
10;1060990;2НДФЛ;Обучение;1;0.35;мужской;0;0;высшее;менеджер среднего звена;>250;3;39;38;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061010;Свободная форма с печатью работодателя;Покупка бытовой техники;0;0.55;женский;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061030;Форма банка (без печати работодателя);Ремонт;1;0.39;мужской;2;0;высшее;вспомогательный персонал;>250;0;14;26;Сельское и лесное хозяйство;ООО;женат / замужем;1;0;0;0;0;0.0377358491;0;1;0;0;0.5714285714;4;3;102;7;3;1;4;56;1;0;0;0;0;0;0
10;1061050;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;1;0;среднее;рабочий;>250;1;25;37;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061070;Поступление зарплаты на счет;Ремонт;1;0.49;женский;0;0;высшее;специалист;>250;1;37;26;Торговля;ООО;разведен / разведена;0;0;0;0;0;0.0256410256;0;0;0;0;0.25;1;3;76;4;1;0;18;48;1;0;0;0;0;0;0
10;1061090;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.45;мужской;1;0;высшее;рабочий;< 50;0;70;55;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061110;Поступление зарплаты на счет;Ремонт;1;0.2;мужской;1;0;высшее;специалист;>250;1;7;41;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061130;Форма банка (без печати работодателя);Ремонт;0;0.4;женский;1;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;24;39;Торговля;ООО;гражданский брак;5;2;1;1;1;0.0166666667;0;2;1;1;0.4615384615;6;7;118;13;2;1;0;84;1;0;0;0;0;0;0
10;1061150;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.56;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;351;51;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061170;2НДФЛ;Ремонт;1;0.59;мужской;0;0;высшее;менеджер среднего звена;>250;0;6;37;Торговля;ЗАО;холост / не замужем;3;3;2;2;2;0.2899408284;0;0;0;0;0.3333333333;2;4;120;6;1;0;42;87;1;0;0;0;0;0;0
10;1061190;2НДФЛ;Ремонт;0;0.43;мужской;1;0;высшее;рабочий;>250;3;9;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061210;2НДФЛ;Покупка недвижимости/ строительство;1;0.32;женский;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1061230;Свободная форма с печатью работодателя;Ремонт;1;0.35;женский;0;0;высшее;специалист;< 50;1;120;47;Другое;ООО;холост / не замужем;2;2;2;2;0;0;0;0;0;0;0.6666666667;2;1;74;3;2;1;8;49;0;0;0;0;0;0;0
10;1061250;Поступление зарплаты на счет;Ремонт;1;0.3;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;17;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
